time,time_order,ReportingPeriod,visn,site,unit_type,groupvar,groupvar_value,N,ND,EXP,unadjusted_mortality,SMR,SMR_CI_lower,SMR_CI_upper
Rolling 6 Months,2,2026Q1,2,FAC007,Surgical,organ_system,GI7,1,0,0.043218,0.0,0.0,0.0,84.896036
Rolling 6 Months,2,2026Q1,2,FAC007,Surgical,age_cat,"[55,65)",1,0,0.043218,0.0,0.0,0.0,84.896036
Rolling 6 Months,2,2026Q1,2,FAC007,Surgical,severity,2.5-<5%,1,0,0.043218,0.0,0.0,0.0,84.896036
Rolling 6 Months,2,2026Q1,2,FAC007,Surgical,unit_type,Surgical,1,0,0.043218,0.0,0.0,0.0,84.896036
Rolling 6 Months,2,2026Q1,2,FAC007,Surgical,admission_source,Emergency,1,0,0.043218,0.0,0.0,0.0,84.896036
Rolling 6 Months,2,2026Q1,2,FAC007,Surgical,predicted_mortality_group,2.5-<5%,1,0,0.043218,0.0,0.0,0.0,84.896036
Rolling 6 Months,2,2026Q1,4,FAC028,Stepdown,losingspec,,1,0,0.221447,0.0,0.0,0.0,16.568465
Rolling 6 Months,2,2026Q1,4,FAC028,Stepdown,lward,Medical,1,0,0.221447,0.0,0.0,0.0,16.568465
Rolling 6 Months,2,2026Q1,4,FAC028,Stepdown,organ_system,NU9,1,0,0.221447,0.0,0.0,0.0,16.568465
Rolling 6 Months,2,2026Q1,4,FAC028,Stepdown,age_cat,"[55,65)",1,0,0.221447,0.0,0.0,0.0,16.568465
Rolling 6 Months,2,2026Q1,4,FAC028,Stepdown,severity,10-<30%,1,0,0.221447,0.0,0.0,0.0,16.568465
Rolling 6 Months,2,2026Q1,4,FAC028,Stepdown,unit_type,Stepdown,1,0,0.221447,0.0,0.0,0.0,16.568465
Rolling 6 Months,2,2026Q1,4,FAC028,Stepdown,admission_source,Emergency,1,0,0.221447,0.0,0.0,0.0,16.568465
Rolling 6 Months,2,2026Q1,4,FAC028,Stepdown,predicted_mortality_group,10-<30%,1,0,0.221447,0.0,0.0,0.0,16.568465
Rolling 6 Months,2,2026Q1,5,FAC021,ICU,losingspec,,1,0,0.364388,0.0,0.0,0.0,10.069039
Rolling 6 Months,2,2026Q1,5,FAC021,ICU,lward,Clinic/ED,1,0,0.364388,0.0,0.0,0.0,10.069039
Rolling 6 Months,2,2026Q1,5,FAC021,ICU,organ_system,GI7,1,0,0.364388,0.0,0.0,0.0,10.069039
Rolling 6 Months,2,2026Q1,5,FAC021,ICU,age_cat,"[75,85)",1,0,0.364388,0.0,0.0,0.0,10.069039
Rolling 6 Months,2,2026Q1,5,FAC021,ICU,severity,30%+,1,0,0.364388,0.0,0.0,0.0,10.069039
Rolling 6 Months,2,2026Q1,5,FAC021,ICU,unit_type,ICU,1,0,0.364388,0.0,0.0,0.0,10.069039
Rolling 6 Months,2,2026Q1,5,FAC021,ICU,admission_source,Emergency,1,0,0.364388,0.0,0.0,0.0,10.069039
Rolling 6 Months,2,2026Q1,5,FAC021,ICU,predicted_mortality_group,30%+,1,0,0.364388,0.0,0.0,0.0,10.069039
Rolling 6 Months,2,2026Q1,5,FAC002,Medical,losingspec,,2,0,0.399062,0.0,0.0,0.0,9.194152
Rolling 6 Months,2,2026Q1,5,FAC002,Medical,lward,Clinic/ED,2,0,0.399062,0.0,0.0,0.0,9.194152
Rolling 6 Months,2,2026Q1,5,FAC002,Medical,organ_system,CV9,1,0,0.060111,0.0,0.0,0.0,61.037695
Rolling 6 Months,2,2026Q1,5,FAC002,Medical,age_cat,"[55,65)",1,0,0.060111,0.0,0.0,0.0,61.037695
Rolling 6 Months,2,2026Q1,5,FAC002,Medical,severity,5-<10%,1,0,0.060111,0.0,0.0,0.0,61.037695
Rolling 6 Months,2,2026Q1,5,FAC002,Medical,unit_type,Medical,2,0,0.399062,0.0,0.0,0.0,9.194152
Rolling 6 Months,2,2026Q1,5,FAC002,Medical,admission_source,Emergency,1,0,0.060111,0.0,0.0,0.0,61.037695
Rolling 6 Months,2,2026Q1,5,FAC002,Medical,predicted_mortality_group,5-<10%,1,0,0.060111,0.0,0.0,0.0,61.037695
Rolling 6 Months,2,2026Q1,3,FAC018,Surgical,losingspec,,2,0,0.127706,0.0,0.0,0.0,28.73034
Rolling 6 Months,2,2026Q1,3,FAC018,Surgical,lward,Clinic/ED,2,0,0.127706,0.0,0.0,0.0,28.73034
Rolling 6 Months,2,2026Q1,3,FAC018,Surgical,organ_system,CV9,2,0,0.127706,0.0,0.0,0.0,28.73034
Rolling 6 Months,2,2026Q1,3,FAC018,Surgical,age_cat,"[45,55)",2,0,0.127706,0.0,0.0,0.0,28.73034
Rolling 6 Months,2,2026Q1,3,FAC018,Surgical,severity,5-<10%,2,0,0.127706,0.0,0.0,0.0,28.73034
Rolling 6 Months,2,2026Q1,3,FAC018,Surgical,unit_type,Surgical,2,0,0.127706,0.0,0.0,0.0,28.73034
Rolling 6 Months,2,2026Q1,3,FAC018,Surgical,admission_source,Emergency,2,0,0.127706,0.0,0.0,0.0,28.73034
Rolling 6 Months,2,2026Q1,3,FAC018,Surgical,predicted_mortality_group,5-<10%,2,0,0.127706,0.0,0.0,0.0,28.73034
Rolling 6 Months,2,2026Q1,4,FAC023,ICU,losingspec,,1,0,0.275418,0.0,0.0,0.0,13.321703
Rolling 6 Months,2,2026Q1,4,FAC023,ICU,lward,Medical,1,0,0.275418,0.0,0.0,0.0,13.321703
Rolling 6 Months,2,2026Q1,4,FAC023,ICU,organ_system,CV9,1,0,0.275418,0.0,0.0,0.0,13.321703
Rolling 6 Months,2,2026Q1,4,FAC023,ICU,age_cat,"[65,75)",1,0,0.275418,0.0,0.0,0.0,13.321703
Rolling 6 Months,2,2026Q1,4,FAC023,ICU,severity,10-<30%,1,0,0.275418,0.0,0.0,0.0,13.321703
Rolling 6 Months,2,2026Q1,4,FAC023,ICU,unit_type,ICU,1,0,0.275418,0.0,0.0,0.0,13.321703
Rolling 6 Months,2,2026Q1,4,FAC023,ICU,admission_source,Other,1,0,0.275418,0.0,0.0,0.0,13.321703
Rolling 6 Months,2,2026Q1,4,FAC023,ICU,predicted_mortality_group,10-<30%,1,0,0.275418,0.0,0.0,0.0,13.321703
Rolling 6 Months,2,2026Q1,3,FAC009,Surgical,losingspec,,1,1,0.332248,1.0,3.0098,0.039273,16.749419
Rolling 6 Months,2,2026Q1,3,FAC009,Surgical,lward,ICU,1,1,0.332248,1.0,3.0098,0.039273,16.749419
Rolling 6 Months,2,2026Q1,3,FAC009,Surgical,organ_system,GI7,1,1,0.332248,1.0,3.0098,0.039273,16.749419
Rolling 6 Months,2,2026Q1,3,FAC009,Surgical,age_cat,"[85,HIGH]",1,1,0.332248,1.0,3.0098,0.039273,16.749419
Rolling 6 Months,2,2026Q1,3,FAC009,Surgical,severity,30%+,1,1,0.332248,1.0,3.0098,0.039273,16.749419
Rolling 6 Months,2,2026Q1,3,FAC009,Surgical,unit_type,Surgical,1,1,0.332248,1.0,3.0098,0.039273,16.749419
Rolling 6 Months,2,2026Q1,3,FAC009,Surgical,admission_source,Clinic,1,1,0.332248,1.0,3.0098,0.039273,16.749419
Rolling 6 Months,2,2026Q1,3,FAC009,Surgical,predicted_mortality_group,30%+,1,1,0.332248,1.0,3.0098,0.039273,16.749419
Rolling 6 Months,2,2026Q1,3,FAC015,ICU,losingspec,,1,1,0.307721,1.0,3.249697,0.042403,18.084437
Rolling 6 Months,2,2026Q1,3,FAC015,ICU,lward,Clinic/ED,1,1,0.307721,1.0,3.249697,0.042403,18.084437
Rolling 6 Months,2,2026Q1,3,FAC015,ICU,organ_system,GI7,1,1,0.307721,1.0,3.249697,0.042403,18.084437
Rolling 6 Months,2,2026Q1,3,FAC015,ICU,age_cat,"[65,75)",1,1,0.307721,1.0,3.249697,0.042403,18.084437
Rolling 6 Months,2,2026Q1,3,FAC015,ICU,severity,30%+,1,1,0.307721,1.0,3.249697,0.042403,18.084437
Rolling 6 Months,2,2026Q1,3,FAC015,ICU,unit_type,ICU,1,1,0.307721,1.0,3.249697,0.042403,18.084437
Rolling 6 Months,2,2026Q1,3,FAC015,ICU,admission_source,Emergency,1,1,0.307721,1.0,3.249697,0.042403,18.084437
Rolling 6 Months,2,2026Q1,3,FAC015,ICU,predicted_mortality_group,30%+,1,1,0.307721,1.0,3.249697,0.042403,18.084437
Rolling 6 Months,2,2026Q1,3,FAC015,Surgical,losingspec,,1,1,0.192435,1.0,5.19656,0.067806,28.918654
Rolling 6 Months,2,2026Q1,3,FAC015,Surgical,lward,Medical,1,1,0.192435,1.0,5.19656,0.067806,28.918654
Rolling 6 Months,2,2026Q1,3,FAC015,Surgical,organ_system,HM1,1,1,0.192435,1.0,5.19656,0.067806,28.918654
Rolling 6 Months,2,2026Q1,3,FAC015,Surgical,age_cat,"[45,55)",1,1,0.192435,1.0,5.19656,0.067806,28.918654
Rolling 6 Months,2,2026Q1,3,FAC015,Surgical,severity,10-<30%,1,1,0.192435,1.0,5.19656,0.067806,28.918654
Rolling 6 Months,2,2026Q1,3,FAC015,Surgical,unit_type,Surgical,1,1,0.192435,1.0,5.19656,0.067806,28.918654
Rolling 6 Months,2,2026Q1,3,FAC015,Surgical,admission_source,Other,1,1,0.192435,1.0,5.19656,0.067806,28.918654
Rolling 6 Months,2,2026Q1,3,FAC015,Surgical,predicted_mortality_group,10-<30%,1,1,0.192435,1.0,5.19656,0.067806,28.918654
Rolling 6 Months,2,2026Q1,4,FAC018,Surgical,losingspec,,1,0,0.113337,0.0,0.0,0.0,32.372807
Rolling 6 Months,2,2026Q1,4,FAC018,Surgical,lward,Clinic/ED,1,0,0.113337,0.0,0.0,0.0,32.372807
Rolling 6 Months,2,2026Q1,4,FAC018,Surgical,organ_system,HM1,1,0,0.113337,0.0,0.0,0.0,32.372807
Rolling 6 Months,2,2026Q1,4,FAC018,Surgical,age_cat,"[55,65)",1,0,0.113337,0.0,0.0,0.0,32.372807
Rolling 6 Months,2,2026Q1,4,FAC018,Surgical,severity,10-<30%,1,0,0.113337,0.0,0.0,0.0,32.372807
Rolling 6 Months,2,2026Q1,4,FAC018,Surgical,unit_type,Surgical,1,0,0.113337,0.0,0.0,0.0,32.372807
Rolling 6 Months,2,2026Q1,4,FAC018,Surgical,admission_source,Emergency,1,0,0.113337,0.0,0.0,0.0,32.372807
Rolling 6 Months,2,2026Q1,4,FAC018,Surgical,predicted_mortality_group,10-<30%,1,0,0.113337,0.0,0.0,0.0,32.372807
Rolling 6 Months,2,2026Q1,4,FAC003,Medical,losingspec,,2,1,0.986902,0.5,1.013272,0.013221,5.638818
Rolling 6 Months,2,2026Q1,4,FAC003,Medical,lward,Medical,1,1,0.807428,1.0,1.238501,0.01616,6.892207
Rolling 6 Months,2,2026Q1,4,FAC003,Medical,organ_system,SP5,1,1,0.807428,1.0,1.238501,0.01616,6.892207
Rolling 6 Months,2,2026Q1,4,FAC003,Medical,age_cat,"[85,HIGH]",2,1,0.986902,0.5,1.013272,0.013221,5.638818
Rolling 6 Months,2,2026Q1,4,FAC003,Medical,severity,30%+,1,1,0.807428,1.0,1.238501,0.01616,6.892207
Rolling 6 Months,2,2026Q1,4,FAC003,Medical,unit_type,Medical,2,1,0.986902,0.5,1.013272,0.013221,5.638818
Rolling 6 Months,2,2026Q1,4,FAC003,Medical,admission_source,Emergency,2,1,0.986902,0.5,1.013272,0.013221,5.638818
Rolling 6 Months,2,2026Q1,4,FAC003,Medical,predicted_mortality_group,30%+,1,1,0.807428,1.0,1.238501,0.01616,6.892207
Rolling 6 Months,2,2026Q1,3,FAC005,Medical,losingspec,,1,0,0.2162,0.0,0.0,0.0,16.970568
Rolling 6 Months,2,2026Q1,3,FAC005,Medical,lward,Clinic/ED,1,0,0.2162,0.0,0.0,0.0,16.970568
Rolling 6 Months,2,2026Q1,3,FAC005,Medical,organ_system,CV9,1,0,0.2162,0.0,0.0,0.0,16.970568
Rolling 6 Months,2,2026Q1,3,FAC005,Medical,age_cat,"[65,75)",1,0,0.2162,0.0,0.0,0.0,16.970568
Rolling 6 Months,2,2026Q1,3,FAC005,Medical,severity,10-<30%,1,0,0.2162,0.0,0.0,0.0,16.970568
Rolling 6 Months,2,2026Q1,3,FAC005,Medical,unit_type,Medical,1,0,0.2162,0.0,0.0,0.0,16.970568
Rolling 6 Months,2,2026Q1,3,FAC005,Medical,admission_source,Emergency,1,0,0.2162,0.0,0.0,0.0,16.970568
Rolling 6 Months,2,2026Q1,3,FAC005,Medical,predicted_mortality_group,10-<30%,1,0,0.2162,0.0,0.0,0.0,16.970568
Rolling 6 Months,2,2026Q1,4,FAC007,Medical,losingspec,,2,0,0.156475,0.0,0.0,0.0,23.448071
Rolling 6 Months,2,2026Q1,4,FAC007,Medical,lward,ICU,1,0,0.054317,0.0,0.0,0.0,67.548592
Rolling 6 Months,2,2026Q1,4,FAC007,Medical,organ_system,RS11,2,0,0.156475,0.0,0.0,0.0,23.448071
Rolling 6 Months,2,2026Q1,4,FAC007,Medical,age_cat,"[55,65)",1,0,0.054317,0.0,0.0,0.0,67.548592
Rolling 6 Months,2,2026Q1,4,FAC007,Medical,severity,5-<10%,1,0,0.054317,0.0,0.0,0.0,67.548592
Rolling 6 Months,2,2026Q1,4,FAC007,Medical,unit_type,Medical,2,0,0.156475,0.0,0.0,0.0,23.448071
Rolling 6 Months,2,2026Q1,4,FAC007,Medical,admission_source,Clinic,1,0,0.054317,0.0,0.0,0.0,67.548592
Rolling 6 Months,2,2026Q1,4,FAC007,Medical,predicted_mortality_group,5-<10%,1,0,0.054317,0.0,0.0,0.0,67.548592
Rolling 6 Months,2,2026Q1,2,FAC030,Stepdown,losingspec,,1,0,0.15517,0.0,0.0,0.0,23.645272
Rolling 6 Months,2,2026Q1,2,FAC030,Stepdown,lward,Clinic/ED,1,0,0.15517,0.0,0.0,0.0,23.645272
Rolling 6 Months,2,2026Q1,2,FAC030,Stepdown,organ_system,GI7,1,0,0.15517,0.0,0.0,0.0,23.645272
Rolling 6 Months,2,2026Q1,2,FAC030,Stepdown,age_cat,"[45,55)",1,0,0.15517,0.0,0.0,0.0,23.645272
Rolling 6 Months,2,2026Q1,2,FAC030,Stepdown,severity,10-<30%,1,0,0.15517,0.0,0.0,0.0,23.645272
Rolling 6 Months,2,2026Q1,2,FAC030,Stepdown,unit_type,Stepdown,1,0,0.15517,0.0,0.0,0.0,23.645272
Rolling 6 Months,2,2026Q1,2,FAC030,Stepdown,admission_source,Emergency,1,0,0.15517,0.0,0.0,0.0,23.645272
Rolling 6 Months,2,2026Q1,2,FAC030,Stepdown,predicted_mortality_group,10-<30%,1,0,0.15517,0.0,0.0,0.0,23.645272
Rolling 6 Months,2,2026Q1,5,FAC011,Surgical,losingspec,,1,0,0.140657,0.0,0.0,0.0,26.084993
Rolling 6 Months,2,2026Q1,5,FAC011,Surgical,lward,Medical,1,0,0.140657,0.0,0.0,0.0,26.084993
Rolling 6 Months,2,2026Q1,5,FAC011,Surgical,organ_system,GI7,1,0,0.140657,0.0,0.0,0.0,26.084993
Rolling 6 Months,2,2026Q1,5,FAC011,Surgical,age_cat,"[65,75)",1,0,0.140657,0.0,0.0,0.0,26.084993
Rolling 6 Months,2,2026Q1,5,FAC011,Surgical,severity,10-<30%,1,0,0.140657,0.0,0.0,0.0,26.084993
Rolling 6 Months,2,2026Q1,5,FAC011,Surgical,unit_type,Surgical,1,0,0.140657,0.0,0.0,0.0,26.084993
Rolling 6 Months,2,2026Q1,5,FAC011,Surgical,admission_source,Emergency,1,0,0.140657,0.0,0.0,0.0,26.084993
Rolling 6 Months,2,2026Q1,5,FAC011,Surgical,predicted_mortality_group,10-<30%,1,0,0.140657,0.0,0.0,0.0,26.084993
Rolling 6 Months,2,2026Q1,5,FAC015,Medical,losingspec,,1,0,0.045594,0.0,0.0,0.0,80.471923
Rolling 6 Months,2,2026Q1,5,FAC015,Medical,lward,Medical,1,0,0.045594,0.0,0.0,0.0,80.471923
Rolling 6 Months,2,2026Q1,5,FAC015,Medical,organ_system,CV9,1,0,0.045594,0.0,0.0,0.0,80.471923
Rolling 6 Months,2,2026Q1,5,FAC015,Medical,age_cat,"[LOW,45)",1,0,0.045594,0.0,0.0,0.0,80.471923
Rolling 6 Months,2,2026Q1,5,FAC015,Medical,severity,2.5-<5%,1,0,0.045594,0.0,0.0,0.0,80.471923
Rolling 6 Months,2,2026Q1,5,FAC015,Medical,unit_type,Medical,1,0,0.045594,0.0,0.0,0.0,80.471923
Rolling 6 Months,2,2026Q1,5,FAC015,Medical,admission_source,Transfer,1,0,0.045594,0.0,0.0,0.0,80.471923
Rolling 6 Months,2,2026Q1,5,FAC015,Medical,predicted_mortality_group,2.5-<5%,1,0,0.045594,0.0,0.0,0.0,80.471923
Rolling 6 Months,2,2026Q1,1,FAC006,Medical,losingspec,,2,1,0.787631,0.5,1.26963,0.016566,7.065442
Rolling 6 Months,2,2026Q1,1,FAC006,Medical,lward,Clinic/ED,1,0,0.179329,0.0,0.0,0.0,20.459808
Rolling 6 Months,2,2026Q1,1,FAC006,Medical,organ_system,NU9,1,0,0.179329,0.0,0.0,0.0,20.459808
Rolling 6 Months,2,2026Q1,1,FAC006,Medical,age_cat,"[75,85)",1,0,0.179329,0.0,0.0,0.0,20.459808
Rolling 6 Months,2,2026Q1,1,FAC006,Medical,severity,10-<30%,1,0,0.179329,0.0,0.0,0.0,20.459808
Rolling 6 Months,2,2026Q1,1,FAC006,Medical,unit_type,Medical,2,1,0.787631,0.5,1.26963,0.016566,7.065442
Rolling 6 Months,2,2026Q1,1,FAC006,Medical,admission_source,Transfer,1,0,0.179329,0.0,0.0,0.0,20.459808
Rolling 6 Months,2,2026Q1,1,FAC006,Medical,predicted_mortality_group,10-<30%,1,0,0.179329,0.0,0.0,0.0,20.459808
Rolling 6 Months,2,2026Q1,5,FAC002,Medical,organ_system,GI7,1,0,0.338951,0.0,0.0,0.0,10.824682
Rolling 6 Months,2,2026Q1,5,FAC002,Medical,age_cat,"[85,HIGH]",1,0,0.338951,0.0,0.0,0.0,10.824682
Rolling 6 Months,2,2026Q1,5,FAC002,Medical,severity,30%+,1,0,0.338951,0.0,0.0,0.0,10.824682
Rolling 6 Months,2,2026Q1,5,FAC002,Medical,admission_source,Other,1,0,0.338951,0.0,0.0,0.0,10.824682
Rolling 6 Months,2,2026Q1,5,FAC002,Medical,predicted_mortality_group,30%+,1,0,0.338951,0.0,0.0,0.0,10.824682
Rolling 6 Months,2,2026Q1,3,FAC024,ICU,losingspec,,2,0,0.318944,0.0,0.0,0.0,11.503702
Rolling 6 Months,2,2026Q1,3,FAC024,ICU,lward,Clinic/ED,1,0,0.201961,0.0,0.0,0.0,18.167056
Rolling 6 Months,2,2026Q1,3,FAC024,ICU,organ_system,CV9,2,0,0.318944,0.0,0.0,0.0,11.503702
Rolling 6 Months,2,2026Q1,3,FAC024,ICU,age_cat,"[85,HIGH]",1,0,0.201961,0.0,0.0,0.0,18.167056
Rolling 6 Months,2,2026Q1,3,FAC024,ICU,severity,10-<30%,2,0,0.318944,0.0,0.0,0.0,11.503702
Rolling 6 Months,2,2026Q1,3,FAC024,ICU,unit_type,ICU,2,0,0.318944,0.0,0.0,0.0,11.503702
Rolling 6 Months,2,2026Q1,3,FAC024,ICU,admission_source,Emergency,1,0,0.201961,0.0,0.0,0.0,18.167056
Rolling 6 Months,2,2026Q1,3,FAC024,ICU,predicted_mortality_group,10-<30%,2,0,0.318944,0.0,0.0,0.0,11.503702
Rolling 6 Months,2,2026Q1,5,FAC024,Medical,losingspec,,1,0,0.384152,0.0,0.0,0.0,9.551003
Rolling 6 Months,2,2026Q1,5,FAC024,Medical,lward,Surgical,1,0,0.384152,0.0,0.0,0.0,9.551003
Rolling 6 Months,2,2026Q1,5,FAC024,Medical,organ_system,RS11,1,0,0.384152,0.0,0.0,0.0,9.551003
Rolling 6 Months,2,2026Q1,5,FAC024,Medical,age_cat,"[65,75)",1,0,0.384152,0.0,0.0,0.0,9.551003
Rolling 6 Months,2,2026Q1,5,FAC024,Medical,severity,30%+,1,0,0.384152,0.0,0.0,0.0,9.551003
Rolling 6 Months,2,2026Q1,5,FAC024,Medical,unit_type,Medical,1,0,0.384152,0.0,0.0,0.0,9.551003
Rolling 6 Months,2,2026Q1,5,FAC024,Medical,admission_source,Emergency,1,0,0.384152,0.0,0.0,0.0,9.551003
Rolling 6 Months,2,2026Q1,5,FAC024,Medical,predicted_mortality_group,30%+,1,0,0.384152,0.0,0.0,0.0,9.551003
Rolling 6 Months,2,2026Q1,2,FAC018,Stepdown,losingspec,,1,0,0.092976,0.0,0.0,0.0,39.462193
Rolling 6 Months,2,2026Q1,2,FAC018,Stepdown,lward,Surgical,1,0,0.092976,0.0,0.0,0.0,39.462193
Rolling 6 Months,2,2026Q1,2,FAC018,Stepdown,organ_system,SP5,1,0,0.092976,0.0,0.0,0.0,39.462193
Rolling 6 Months,2,2026Q1,2,FAC018,Stepdown,age_cat,"[65,75)",1,0,0.092976,0.0,0.0,0.0,39.462193
Rolling 6 Months,2,2026Q1,2,FAC018,Stepdown,severity,5-<10%,1,0,0.092976,0.0,0.0,0.0,39.462193
Rolling 6 Months,2,2026Q1,2,FAC018,Stepdown,unit_type,Stepdown,1,0,0.092976,0.0,0.0,0.0,39.462193
Rolling 6 Months,2,2026Q1,2,FAC018,Stepdown,admission_source,Emergency,1,0,0.092976,0.0,0.0,0.0,39.462193
